cnt,gx,gy,gz,ax,ay,az
3887,-758,712,284,-239,455,15976
3888,312,1116,-38,-313,518,16004
3889,154,978,-522,-509,651,15787
3890,256,712,-1054,-518,952,15495
3891,-520,644,-1226,-843,1053,15403
3892,-1536,760,-1260,-999,1121,15421
3893,-2720,1486,-1318,-902,1090,15436
3894,-3284,1602,-1652,-622,865,15863
3895,-3250,966,-1388,-622,614,16246
3896,-2214,1718,-408,-704,564,16503
3897,-1708,1810,-1168,-910,252,16458
3898,-1602,2042,-764,-1175,-87,16142
3899,-1212,2040,-1250,-1268,-346,15841
3900,-624,1544,8,-1104,-32,15730
3901,-94,526,-500,-1188,296,15674
3902,256,-224,-926,-1570,601,16139
3903,1078,792,-950,-1694,640,16529
3904,1430,-72,-212,-1794,434,16456
3905,1756,792,-568,-1737,232,15999
3906,1926,460,-1480,-1553,408,15470
3907,2128,296,-984,-1537,686,14832
3908,1744,-616,-1502,-1333,968,14420
3909,952,6,-1272,-1215,1279,14287
3910,-184,-1194,-1918,-1512,1144,14531
3911,-782,-802,-1894,-1530,969,14667
3912,-1356,-1516,-1342,-1403,755,14768
3913,-1142,-1194,-1238,-1406,650,14819
3914,-1402,-976,-834,-1359,595,14646
3915,-1886,-1356,-1238,-1291,558,14583
3916,-2212,-1552,-1042,-1287,654,14875
3917,-2394,-1126,-950,-1217,693,15543
3918,-2520,-1460,-938,-1350,673,16203
3919,-1502,-640,-292,-1500,203,16154
3920,-790,-1088,-408,-1741,-309,16095
3921,8,-776,-372,-1435,-158,16146
3922,742,-1678,-384,-1234,-67,15916
3923,640,-1044,274,-1074,-118,16038
3924,718,-940,-166,-1126,160,15947
3925,922,-1184,-614,-1145,358,15784
3926,1146,-1148,-222,-1308,401,15398
3927,1396,-1030,-96,-1445,442,15185
3928,684,-1530,-488,-1261,249,15027
3929,-140,-1692,-754,-743,248,15008
3930,-736,-1334,-166,-542,533,15284
3931,-1074,-1310,-166,-615,653,15437
3932,-874,-1322,-38,-679,626,15585
3933,-884,-882,-1306,-861,513,15635
3934,-782,-1090,-1076,-1008,332,15734
3935,-840,64,-858,-887,135,15901
3936,-410,-430,-926,-793,510,16092
3937,-600,-952,-1710,-591,716,16340
